Feature,Coefficient
WAB,3.0158637376655193
ADJOE,1.9720622533228518
W,0.7788083135484415
EFG_O,0.5573804153265055
FTR,0.17946633113342347
TORD,0.14997032565814897
2P_D,0.13428637275618022
ORB,0.09324782603954876
FTRD,-0.043494911250820556
DRB,-0.0686457525805513
ADJ_T,-0.07352423903373229
3P_D,-0.08470275520206601
TOR,-0.13312153255139494
3P_O,-0.14573016047559778
EFG_D,-0.2543645353122325
2P_O,-0.33879207409405226
ADJDE,-1.6306654369879627
BARTHAG,-3.6930441382815635
